DMC; RequestId; Result; S010_state; S010_user; S010_housing_ZE; S010_cover_ZE; S010_lockingpliers; S010_R1_hook; S010_R2_hook; S010_R3_hook; S010_R4_hook; S010_R5_hook; S020_state; S020_timestamp_dummy; S020_busbar_KL15; S020_busbar_KL30; S020_busbar_ECOA; S020_busbar_ECOB; S020_P1_elopins; S020_P2_elopins; S020_P3_elopins; S020_P4_elopins; S030_state; S030_timestamp_dummy; S030_forkcontact; S040_state; S040_timestamp_dummy; S040_K1_force_min; S040_K1_force_current; S040_K1_force_max; S040_K2_force_min; S040_K2_force_current; S040_K2_force_max; S040_1_distance_min; S040_1_distance_current; S040_1_distance_max; S040_2_distance_min; S040_2_distance_current; S040_2_distance_max; S040_3_distance_min; S040_3_distance_current; S040_3_distance_max; S040_4_distance_min; S040_4_distance_current; S040_4_distance_max; S040_5_distance_min; S040_5_distance_current; S040_5_distance_max; S040_6_distance_min; S040_6_distance_current; S040_6_distance_max; S050_state; S050_timestamp_dummy; S050_contact; S050_scancode; S051_state; S051_timestamp_dummy; S051_V1_hook; S051_V2_hook; S051_V3_hook; S051_V4_hook; S051_V5_hook; S051_V6_hook; S051_V7_hook; S051_V8_hook; S060_state; S060_timestamp_dummy; S060_R6_hook; S060_R6_distance_min; S060_R6_distance_current; S060_R6_distance_max; S060_R7_hook; S060_R7_distance_min; S060_R7_distance_current; S060_R7_distance_max; S060_R8_hook; S060_R8_distance_min; S060_R8_distance_current; S060_R8_distance_max; S060_R9_hook; S060_R9_distance_min; S060_R9_distance_current; S060_R9_distance_max; S060_R10_hook; S060_R10_distance_min; S060_R10_distance_current; S060_R10_distance_max; S060_R11_hook; S060_R11_distance_min; S060_R11_distance_current; S060_R11_distance_max; S060_R12_hook; S060_R12_distance_min; S060_R12_distance_current; S060_R12_distance_max; S060_R13_hook; S060_R13_distance_min; S060_R13_distance_current; S060_R13_distance_max; S060_R14_hook; S060_R14_distance_min; S060_R14_distance_current; S060_R14_distance_max; S080_state; S080_timestamp_dummy; S080_electrical_testing; S080_electrical_continuity_1; S080_electrical_continuity_2; S080_electrical_continuity_3; S080_electrical_continuity_4; S080_electrical_continuity_5; S080_electrical_continuity_6; S080_electrical_continuity_7; S080_electrical_continuity_8; S080_electrical_continuity_9; S080_electrical_continuity_10; S080_electrical_continuity_11; S080_electrical_continuity_12; S080_electrical_continuity_13; S080_electrical_continuity_14; S080_electrical_continuity_15; S080_electrical_continuity_16; S080_electrical_continuity_17; S080_electrical_continuity_18; S080_electrical_continuity_19; S080_electrical_continuity_20; S080_electrical_continuity_21; S080_electrical_continuity_22; S080_electrical_continuity_23; S080_electrical_continuity_24; S080_electrical_continuity_25; S080_electrical_continuity_26; S080_electrical_continuity_27; S080_electrical_continuity_28; S080_electrical_continuity_29; S080_electrical_continuity_30; S080_electrical_continuity_31; S080_electrical_continuity_32; S080_electrical_continuity_33; S080_electrical_continuity_34; S080_electrical_continuity_35; S080_electrical_continuity_36; S080_electrical_continuity_37; S080_electrical_continuity_38; S080_electrical_continuity_39; S080_electrical_continuity_40; S080_electrical_continuity_41; S080_electrical_continuity_42; S080_electrical_continuity_43; S080_electrical_continuity_44; S080_electrical_continuity_45; S080_electrical_continuity_46; S080_electrical_continuity_47; S080_electrical_continuity_48; S080_electrical_continuity_49; S080_electrical_continuity_50; S080_electrical_continuity_51; S080_electrical_continuity_52; S080_electrical_continuity_53; S080_electrical_continuity_54; S080_electrical_continuity_55; S080_electrical_continuity_56; S080_electrical_continuity_57; S080_electrical_continuity_58; S080_short-sircuiting_1; S080_short-sircuiting_2; S080_short-sircuiting_3; S080_short-sircuiting_4; S080_short-sircuiting_5; S080_short-sircuiting_6; S080_short-sircuiting_7; S080_short-sircuiting_8; S080_short-sircuiting_9; S080_short-sircuiting_10; S080_short-sircuiting_11; S080_short-sircuiting_12; S080_short-sircuiting_13; S080_short-sircuiting_14; S080_short-sircuiting_15; S080_short-sircuiting_16; S080_short-sircuiting_17; S080_short-sircuiting_18; S080_short-sircuiting_19; S080_short-sircuiting_20; S080_short-sircuiting_21; S080_short-sircuiting_22; S080_short-sircuiting_23; S080_short-sircuiting_24; S080_short-sircuiting_25; S080_short-sircuiting_26; S080_short-sircuiting_27; S080_short-sircuiting_28; S080_short-sircuiting_29; S080_short-sircuiting_30; S080_short-sircuiting_31; S080_short-sircuiting_32; S080_short-sircuiting_33; S080_short-sircuiting_34; S080_short-sircuiting_35; S080_short-sircuiting_36; S080_short-sircuiting_37; S080_short-sircuiting_38; S080_short-sircuiting_39; S080_short-sircuiting_40; S080_short-sircuiting_41; S080_short-sircuiting_42; S080_short-sircuiting_43; S080_short-sircuiting_44; S080_short-sircuiting_45; S080_short-sircuiting_46; S080_short-sircuiting_47; S080_short-sircuiting_48; S080_short-sircuiting_49; S080_short-sircuiting_50; S080_short-sircuiting_51; S080_short-sircuiting_52; S080_short-sircuiting_53; S080_short-sircuiting_54; S080_short-sircuiting_55; S080_short-sircuiting_56; S080_short-sircuiting_57; S080_short-sircuiting_58;
81254446122 _D_/401143789 211220 000 840549245214; 73775; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1918,991; 4000; 630; 884,888; 2500; 1,99; 2,101; 2,29; 1,99; 2,036; 2,29; 1,92; 1,986; 2,22; 1,92; 1,981; 2,22; 1,99; 2,093; 2,29; 1,99; 2,068; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,057; 1; IO; -1; 0,061; 1; IO; -1; -0,339; 1; IO; -1; 0,598; 1; IO; -1; -0,047; 1; IO; -1; -0,052; 1; IO; -1; 0,031; 1; IO; -1; -0,0421; 1; IO; -1; -0,038; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245213; 73776; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1925,537; 4000; 630; 797,272; 2500; 1,99; 2,14; 2,29; 1,99; 2,084; 2,29; 1,92; 1,986; 2,22; 1,92; 2,003; 2,22; 1,99; 2,083; 2,29; 1,99; 2,108; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,035; 1; IO; -1; 0,082; 1; IO; -1; -0,275; 1; IO; -1; 0,846; 1; IO; -1; -0,068; 1; IO; -1; -0,012; 1; IO; -1; 0,006; 1; IO; -1; -0,0582; 1; IO; -1; -0,028; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245212; 73777; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1997,208; 4000; 630; 743,225; 2500; 1,99; 2,202; 2,29; 1,99; 2,181; 2,29; 1,92; 2,043; 2,22; 1,92; 2,063; 2,22; 1,99; 2,158; 2,29; 1,99; 2,088; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,079; 1; IO; -1; -0,064; 1; IO; -1; -0,544; 1; IO; -1; -0,551; 1; IO; -1; -0,206; 1; IO; -1; -0,117; 1; IO; -1; 0,125; 1; IO; -1; -0,0401; 1; IO; -1; -0,013; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245211; 73778; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1853,195; 4000; 630; 773,773; 2500; 1,99; 2,033; 2,29; 1,99; 2,06; 2,29; 1,92; 2,066; 2,22; 1,92; 2,014; 2,22; 1,99; 2,124; 2,29; 1,99; 2,115; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,081; 1; IO; -1; -0,078; 1; IO; -1; -0,544; 1; IO; -1; -0,571; 1; IO; -1; -0,23; 1; IO; -1; -0,1; 1; IO; -1; 0,126; 1; IO; -1; -0,0394; 1; IO; -1; -0,023; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245210; 73779; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1981,43; 4000; 630; 782,669; 2500; 1,99; 2,062; 2,29; 1,99; 2,045; 2,29; 1,92; 1,996; 2,22; 1,92; 1,988; 2,22; 1,99; 2,124; 2,29; 1,99; 2,068; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,034; 1; IO; -1; 0,063; 1; IO; -1; -0,347; 1; IO; -1; 0,514; 1; IO; -1; -0,111; 1; IO; -1; -0,02; 1; IO; -1; 0,028; 1; IO; -1; -0,0173; 1; IO; -1; -0,024; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245209; 73780; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 2017,517; 4000; 630; 771,927; 2500; 1,99; 2,088; 2,29; 1,99; 2,088; 2,29; 1,92; 2,031; 2,22; 1,92; 2,018; 2,22; 1,99; 2,072; 2,29; 1,99; 2,08; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,046; 1; IO; -1; 0,081; 1; IO; -1; -0,351; 1; IO; -1; 0,629; 1; IO; -1; -0,079; 1; IO; -1; -0,002; 1; IO; -1; 0,022; 1; IO; -1; -0,0366; 1; IO; -1; -0,043; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245208; 73781; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 2023,895; 4000; 630; 851,822; 2500; 1,99; 2,111; 2,29; 1,99; 2,047; 2,29; 1,92; 2,002; 2,22; 1,92; 1,995; 2,22; 1,99; 2,105; 2,29; 1,99; 2,086; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,068; 1; IO; -1; 0,073; 1; IO; -1; -0,366; 1; IO; -1; 0,594; 1; IO; -1; -0,067; 1; IO; -1; -0,047; 1; IO; -1; 0,025; 1; IO; -1; -0,0491; 1; IO; -1; -0,059; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245207; 73782; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1899,017; 4000; 630; 779,48; 2500; 1,99; 2,122; 2,29; 1,99; 2,072; 2,29; 1,92; 1,993; 2,22; 1,92; 1,987; 2,22; 1,99; 2,066; 2,29; 1,99; 2,09; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,036; 1; IO; -1; 0,076; 1; IO; -1; -0,303; 1; IO; -1; 0,688; 1; IO; -1; -0,059; 1; IO; -1; 0,007; 1; IO; -1; 0,009; 1; IO; -1; -0,0605; 1; IO; -1; -0,035; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245206; 73783; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1905,396; 4000; 630; 732,315; 2500; 1,99; 2,174; 2,29; 1,99; 2,151; 2,29; 1,92; 2,034; 2,22; 1,92; 2,035; 2,22; 1,99; 2,138; 2,29; 1,99; 2,071; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,044; 1; IO; -1; 0,066; 1; IO; -1; -0,312; 1; IO; -1; 0,625; 1; IO; -1; -0,053; 1; IO; -1; -0,02; 1; IO; -1; -0,005; 1; IO; -1; -0,0665; 1; IO; -1; -0,02; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245205; 73784; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1977,905; 4000; 630; 760,849; 2500; 1,99; 2,053; 2,29; 1,99; 2,081; 2,29; 1,92; 2,071; 2,22; 1,92; 2,03; 2,22; 1,99; 2,121; 2,29; 1,99; 2,113; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,075; 1; IO; -1; -0,084; 1; IO; -1; -0,508; 1; IO; -1; -0,432; 1; IO; -1; -0,167; 1; IO; -1; -0,078; 1; IO; -1; 0,109; 1; IO; -1; -0,0555; 1; IO; -1; 0,015; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245204; 73785; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1882,568; 4000; 630; 811,371; 2500; 1,99; 2,044; 2,29; 1,99; 2,034; 2,29; 1,92; 1,994; 2,22; 1,92; 1,982; 2,22; 1,99; 2,118; 2,29; 1,99; 2,064; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,067; 1; IO; -1; -0,063; 1; IO; -1; -0,559; 1; IO; -1; -0,559; 1; IO; -1; -0,205; 1; IO; -1; -0,09; 1; IO; -1; 0,125; 1; IO; -1; -0,0107; 1; IO; -1; -0,04; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245203; 73786; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1884,079; 4000; 630; 783,34; 2500; 1,99; 2,057; 2,29; 1,99; 2,06; 2,29; 1,92; 2,003; 2,22; 1,92; 1,993; 2,22; 1,99; 2,05; 2,29; 1,99; 2,069; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,07; 1; IO; -1; -0,074; 1; IO; -1; -0,526; 1; IO; -1; -0,607; 1; IO; -1; -0,186; 1; IO; -1; -0,079; 1; IO; -1; 0,106; 1; IO; -1; -0,0445; 1; IO; -1; -0,011; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
81254446122 _D_/401143789 211220 000 840549245202; 73787; OK; IO; n.A.; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:06; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:18:48; IO; IO; 03.01.2022 06:19:17; 1000; 1938,797; 4000; 630; 872,131; 2500; 1,99; 2,087; 2,29; 1,99; 2,018; 2,29; 1,92; 1,982; 2,22; 1,92; 1,96; 2,22; 1,99; 2,07; 2,29; 1,99; 2,053; 2,29; IO; 03.01.2022 06:19:32; IO; ; IO; 03.01.2022 06:19:39; IO; IO; IO; IO; IO; IO; IO; IO; IO; 03.01.2022 06:20:34; IO; -1; 0,057; 1; IO; -1; 0,064; 1; IO; -1; -0,326; 1; IO; -1; 0,531; 1; IO; -1; -0,07; 1; IO; -1; -0,054; 1; IO; -1; 0,023; 1; IO; -1; -0,0403; 1; IO; -1; -0,055; 1; IO; 03.01.2022 06:22:09; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO; IO;
